number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
5 rooms ;; Apartment;;1209 Genève;Bright living area;Modern equipped kitchen;Direct park access;CHF 4,500.-;—
4 rooms ;; Apartment;Rue De L' Athénée 38; 1206 Genève;Fully equipped kitchen;Spacious living area;Elevator access;CHF 4,200.-;—
4 rooms ; 120 m_ ; Apartment;;1201 Genève;Bright and functional;Two private balconies;Open fully equipped kitchen;CHF 4,695.-;CHF 470 / m_ / year
2.5 rooms ; 48 m_ ; Apartment;Rue De La Maladière 7; 1205 Genève;Balcony access from multiple rooms;Refreshed apartment;Shared cellar;CHF 1,535.-;CHF 384 / m_ / year
5 rooms ;; Apartment;Boulevard Du Pont-D'arve 8; 1205 Genève;Prime location;Equipped kitchen;Balcony;CHF 3,300.-;—
4 rooms ; 73 m_ ; Apartment;Rue Claudine-Levet 3; 1201 Genève;Close to city center;Renovated with modern kitchen;Quiet and well-maintained;CHF 2,601.-;CHF 428 / m_ / year
5.5 rooms ;; Apartment;;1202 Genève;Panoramic Lake Geneva view;Large living and dining area;Modern equipped kitchen;CHF 4,970.-;—
4 rooms ; 68 m_ ; Apartment;Rue De Vermont 18; 1202 Genève;Two balconies;Fitted kitchen;Cellar;CHF 2,315.-;CHF 409 / m_ / year
1.5 rooms ; 45 m_ ; Apartment;Grand-Rue 34; 1204 Genève;Old Town Charm;Quiet and sunny;Near amenities;CHF 2,000.-;CHF 533 / m_ / year
4.5 rooms ; 100 m_ ; Apartment;;1204 Genève;Old town, ideal location;Large, bright living room;Fully equipped kitchen;CHF 3,900.-;CHF 468 / m_ / year
3.5 rooms ; 85 m_ ; Apartment;Rue De L' Industrie 38; 1201 Genève;Spacious 84.5 m2 apartment;Two bathrooms;South-facing balcony;CHF 1,305.-;CHF 184 / m_ / year
7 rooms ; 174 m_ ; Apartment;;1209 Genève;Magnificent terrace;Quiet location;Luxury finishes;CHF 6,750.-;CHF 466 / m_ / year
8 rooms ;; Apartment;;1206 Genève;Penthouse with 140m2 terrace;Unblocked panoramic view;Private access, secure;CHF 10,000.-;—
6 rooms ; 179 m_ ; Apartment;;1204 Genève;Old town location, very quiet;Luxury fittings;Lake & Jura views;CHF 11,500.-;CHF 771 / m_ / year
8 rooms ; 225 m_ ; Apartment;;1206 Genève;225m_ living space;48m_ balcony;Bertrand Park view;CHF 7,000.-;CHF 373 / m_ / year
3 rooms ; 56 m_ ; Apartment;Rue Pradier 6; 1201 Genève;Elevator access available;Close to all amenities;Semi-open kitchen design;CHF 1,870.-;CHF 401 / m_ / year
4 rooms ; 103 m_ ; Apartment;Rue Du Mont-Blanc 24; 1201 Genève;Fully renovated interior;Spacious kitchen with fireplace;Close to all amenities;CHF 3,050.-;CHF 355 / m_ / year
5.5 rooms ; 110 m_ ; Apartment;Rue Cavour 3; 1203 Genève;Spacious renovated kitchen;Charming decorative fireplace;Quiet balcony access;CHF 3,500.-;CHF 382 / m_ / year
8.5 rooms ; 250 m_ ; Apartment;Quai Du Mont-Blanc; 1201 Genève;250sqm living space;Lake Geneva view;Elegant balcony;CHF 15,400.-;CHF 739 / m_ / year
7 rooms ; 180 m_ ; Apartment;;1202 Genève;Spacious terrace with lake view;Elegant dining area;Modern shower room;CHF 6,130.-;CHF 409 / m_ / year
4 rooms ; 100 m_ ; Apartment;;1209 Genève;Bright living area;Rooftop pool access;Spacious balcony;CHF 4,162.-;CHF 499 / m_ / year
7 rooms ; 180 m_ ; Apartment;;1206 Genève;Quiet location near park;Two sunny terraces;Fully equipped kitchen;CHF 6,700.-;CHF 447 / m_ / year
4.5 rooms ; 80 m_ ; Apartment;Rue De L' Arquebuse; 1204 Genève;Near Plainpalais;Furnished apartment;With mezzanine;CHF 4,600.-;CHF 690 / m_ / year
3 rooms ; 53 m_ ; Furnished apartment;Rue Le-Corbusier 29; 1208 Genève;Spacious 14m_ terrace;Modern equipped kitchen;Elevator and caretaker service;CHF 2,600.-;CHF 589 / m_ / year
5 rooms ;; Apartment;;1209 Genève;Stunning views of the Alps;Bright, open living space;Close to transport & shops;CHF 5,800.-;—
5 rooms ;; Apartment;;1209 Genève;Bright living area;Modern equipped kitchen;Quiet park access;CHF 4,700.-;—
4 rooms ;; Apartment;Avenue Eugène- Pittard 11; 1206 Genève;Spacious living room;Equipped separate kitchen;Balcony access for relaxation;CHF 4,750.-;—
4 rooms ;; Apartment;Avenue De-Budé 2; 1202 Genève;Spacious living with balcony;Equipped kitchen included;Two en-suite bedrooms;CHF 3,720.-;—
4 rooms ; 120 m_ ; Apartment;;1201 Genève;Spacious with two balconies;Fully equipped open kitchen;Bright and functional living space;CHF 5,065.-;CHF 507 / m_ / year
5.5 rooms ; 133 m_ ; Apartment;Chemin De La Chevillarde 48; 1208 Genève;Private elevator access;Two spacious terraces;Modern equipped kitchen;CHF 5,556.-;CHF 501 / m_ / year
4 rooms ;; Apartment;Chemin Des Crêts-De-Champel 32; 1206 Genève;Fully equipped kitchen;Balcony access from living;Visitor WC for convenience;CHF 6,150.-;—
3 rooms ; 49 m_ ; Furnished apartment;Rue De Zurich 32; 1201 Genève;Renovated in 2021;High-speed Wi-Fi;Close to public transport;CHF 2,820.-;CHF 691 / m_ / year
1.5 rooms ; 47 m_ ; Apartment;Rue De-Monthoux 27; 1201 Genève;Spacious living area with terrace;Equipped open kitchen;Prime location near the lake;CHF 2,116.-;CHF 540 / m_ / year
3 rooms ;; Apartment;Avenue De-Budé 11; 1202 Genève;Bright living room with balcony;Access to rooftop pool;Fully equipped kitchen;CHF 3,720.-;—
5.5 rooms ; 131 m_ ; Apartment;Rue Adrien- Lachenal 17; 1207 Genève;Spacious living area;Modern kitchen appliances;Central location with views;CHF 5,150.-;CHF 472 / m_ / year
7 rooms ; 174 m_ ; Apartment;;1209 Genève;Spacious wrap-around terrace;Bright living area of 45m2;Master bedroom with en-suite;CHF 6,950.-;CHF 479 / m_ / year
4 rooms ;; Apartment;;1204 Genève;Spacious 90 m_ layout;Two large city-center balconies;Bright living/dining area;CHF 3,140.-;—
5 rooms ; 110 m_ ; Apartment;Plateau de Frontenex 9; 1208 Genève;Stunning large terrace;Access to gym & pool;Beautiful wooded park;CHF 5,200.-;CHF 567 / m_ / year
6 rooms ;; Furnished apartment;;1202 Genève;Bright living room with balcony;Fully equipped modern kitchen;Parking space available for rent;CHF 5,200.-;—
4 rooms ;; Apartment;;1204 Genève;Haussmanian style;High ceilings;Private laundry;CHF 14,000.-;—
5.5 rooms ; 180 m_ ; Apartment;;1208 Genève;2 balconies, very bright;Tastefully renovated;Indoor pool & garden;CHF 7,490.-;CHF 499 / m_ / year
6.5 rooms ; 270 m_ ; Penthouse;;1207 Genève;Breathtaking 360° views;90m_ of terraces;Indoor pool & game room;CHF 13,950.-;CHF 620 / m_ / year
2 rooms ; 32 m_ ; Apartment;Quai De La Poste 4; 1204 Genève;Stunning Rhône views;Equipped kitchen;Electric blinds throughout;CHF 2,690.-;CHF 1,009 / m_ / year
6 rooms ; 132 m_ ; Apartment;Rue Adrien- Lachenal 17; 1207 Genève;Modern building with elevator;Bright living space with lake view;Fully equipped kitchen included;CHF 5,350.-;CHF 486 / m_ / year
7.5 rooms ; 219 m_ ; Apartment;Avenue De Champel 73; 1206 Genève;Fully renovated in 2019;Two sunny balconies;High-quality finishes;CHF 7,880.-;CHF 432 / m_ / year
4 rooms ; 110 m_ ; Apartment;;1202 Genève;Spacious 110m_ layout;Large terrace & garden;Bright living with bay windows;CHF 5,100.-;CHF 556 / m_ / year
6.5 rooms ; 188 m_ ; Apartment;;1206 Genève;High ceilings, 3.30m;Private fitness center;Sunny terrace access;CHF 7,500.-;CHF 479 / m_ / year
4 rooms ; 120 m_ ; Apartment;;1209 Genève;High-end kitchen design;Rooftop pools with views;Spacious entrance storage;On request;—
3 rooms ; 67 m_ ; Furnished apartment;;1202 Genève;Tastefully furnished;Access to fitness room;Quiet green surroundings;CHF 2,980.-;CHF 534 / m_ / year
4 rooms ; 93 m_ ; Apartment;Rue De L' Athénée 38; 1206 Genève;Elevator access available;Fully equipped kitchen;Parking space available;CHF 4,390.-;CHF 566 / m_ / year
3 rooms ; 59 m_ ; Apartment;Rue De Contamines 36; 1206 Genève;Elevator access available;Fully furnished living space;Separate equipped kitchen;CHF 3,480.-;CHF 708 / m_ / year
2.5 rooms ;; Apartment;;1207 Genève;Stunning Mont Blanc view;Large indoor pool & jacuzzi;Beautiful garden & park area;CHF 2,500.-;—
6.5 rooms ; 150 m_ ; Apartment;Avenue Peschier 2; 1206 Genève;Spacious 150 m2 layout;Elegant dining with fireplace;Secure building near park;CHF 6,267.-;CHF 501 / m_ / year
320 m_ ;; Single house;;1206 Genève;Luxury finishes throughout;8 minutes from Megève;Shuttle service nearby;On request;—
4 rooms ; 65 m_ ; Apartment;;1205 Genève;Bright living area;Equipped kitchen;Two sunny balconies;CHF 2,950.-;CHF 545 / m_ / year
24 m_ ;; Apartment;Boulevard De La Cluse; 1205 Genève;Modern kitchen with balcony;Bright living area with views;Prime location near amenities;CHF 2,670.-;CHF 1,335 / m_ / year
4 rooms ; 88 m_ ; Apartment;Rue Jean- Jaquet 18; 1201 Genève;Quiet street near the lake;Bright living room with views;High-quality furnished option;CHF 3,040.-;CHF 415 / m_ / year
6 rooms ; 205 m_ ; Furnished apartment;;1206 Genève;Large terrace for relaxation;Modern kitchen with amenities;Two parking spaces included;CHF 7,900.-;CHF 462 / m_ / year
5 rooms ; 100 m_ ; Apartment;;1207 Genève;Spacious living area;Equipped modern kitchen;Sunny balcony retreat;CHF 3,400.-;CHF 408 / m_ / year
4 rooms ; 82 m_ ; Apartment;Quai Gustave- Ador 60; 1207 Genève;Stunning lake views;Modern equipped kitchen;Two sunny loggias;CHF 4,460.-;CHF 653 / m_ / year
3 rooms ; 92 m_ ; Apartment;;1206 Genève;Equipped kitchen with balcony;Cozy living area;Visitor WC for convenience;CHF 2,320.-;CHF 303 / m_ / year
5 rooms ; 146 m_ ; Apartment;Rue Giovanni- Gambini 1; 1206 Genève;Stunning Mont Salève views;Spacious living with balcony;Jacuzzi in master suite;CHF 6,500.-;CHF 534 / m_ / year
3 rooms ; 55 m_ ; Apartment;;1203 Genève;Equipped kitchen;Cozy balcony;Bright living area;CHF 1,950.-;CHF 425 / m_ / year
4 rooms ;; Apartment;;1209 Genève;Spacious living area;Equipped modern kitchen;Sunny balcony retreat;CHF 2,700.-;—
1 room ; 60 m_ ; Apartment;Rue Jean-Charles- Amat; 1202 Genève;Spacious balcony with views;Modern kitchen with island;Prime location near amenities;CHF 1,200.-;CHF 240 / m_ / year
6 rooms ;; Apartment;;1207 Genève;Spacious living area;Equipped modern kitchen;Balcony with city views;CHF 4,306.-;—
4 rooms ; 75 m_ ; Apartment;;1202 Genève;Central Geneva location;Bright living area;Modern kitchen design;CHF 2,480.-;CHF 397 / m_ / year
6.5 rooms ;; Apartment;;1202 Genève;Large entrance hall;Equipped modern kitchen;Balcony with city views;CHF 6,340.-;—
1 room ; 40 m_ ; Apartment;Rue Du Jeu-De-L'arc; 1207 Genève;Spacious balcony with views;Modern kitchen with island;Prime location in Geneva;CHF 3,920.-;CHF 1,176 / m_ / year
30 m_ ;; Apartment;Rue de Lausanne; 1202 Genève;Spacious balcony with view;Modern kitchen amenities;Prime location in city center;CHF 3,240.-;CHF 1,296 / m_ / year
2 rooms ; 85 m_ ; Apartment;Quai Des Arénières; 1205 Genève;Stunning lake views;Modern kitchen design;Spacious balcony retreat;CHF 5,000.-;CHF 706 / m_ / year
4.5 rooms ; 135 m_ ; Apartment;Avenue Du Bouchet; 1202 Genève;Spacious terrace with views;Modern kitchen with high-end finishes;Secure building with concierge;CHF 3,900.-;CHF 347 / m_ / year
5 rooms ;; Apartment;;1203 Genève;Spacious 120 m2 layout;Inviting balcony space;Located in Charmilles area;CHF 2,979.-;—
