number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y
4.5 rooms ; 115 m_ ; Apartment;Route De Marin 16b; 1000 Lausanne;Spacious covered terrace;Large basement room;Bike storage available;CHF 3,650.-;CHF 381 / m_ / year
;40 m_ ; Furnished apartment;Chemin De Longeraie 4; 1006 Lausanne;Spacious balcony with views;Modern kitchen with island;Prime location near amenities;CHF 2,340.-;CHF 702 / m_ / year
;70 m_ ; Furnished apartment;Chemin De Longeraie 4; 1006 Lausanne;Stunning lake views;Modern open-plan design;Private balcony retreat;CHF 2,790.-;CHF 478 / m_ / year
;60 m_ ; Furnished apartment;Avenue De La Chablière 6; 1004 Lausanne;Spacious balcony with views;Modern kitchen with island;Bright living area with light;CHF 2,450.-;CHF 490 / m_ / year
;60 m_ ; Apartment;Avenue de Sévery 2; 1004 Lausanne;Quiet central location;Balcony with great views;3 min to bus stop;CHF 2,450.-;CHF 490 / m_ / year
;41 m_ ; Apartment;Rue Adrien-Pichard 11; 1003 Lausanne;Spacious 41 m_ area;Ideal for various uses;Secure and accessible location;CHF 450.-;CHF 132 / m_ / year
;12 m_ ; Apartment;Chemin Des Trois-Rois 7; 1005 Lausanne;Ideal city center location;Secure and accessible storage;Perfect for personal items;CHF 150.-;CHF 150 / m_ / year
1 room ; 50 m_ ; Apartment;Avenue De Montchoisi; 1006 Lausanne;Stunning city views;Modern kitchen amenities;Close to public transport;CHF 4,026.-;CHF 966 / m_ / year
2 rooms ; 75 m_ ; Apartment;Rue Saint-François; 1003 Lausanne;Modern kitchen with balcony;Bright living area;Prime location near amenities;CHF 4,930.-;CHF 789 / m_ / year
1 room ; 35 m_ ; Apartment;Avenue Du Léman; 1005 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 3,157.-;CHF 1,082 / m_ / year
1 room ; 36 m_ ; Apartment;Avenue Du Léman; 1005 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 2,923.-;CHF 974 / m_ / year
;25 m_ ; Apartment;Avenue De Chailly; 1012 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 2,446.-;CHF 1,174 / m_ / year
;30 m_ ; Apartment;Avenue De Montchoisi; 1006 Lausanne;Stunning lake views;Modern kitchen amenities;Spacious balcony retreat;CHF 2,830.-;CHF 1,132 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;Route Du Pavement 121; 1018 Lausanne;Spacious 100 m_ terrace;Large underground parking;Quiet, high-end living;CHF 2,290.-;CHF 458 / m_ / year
4.5 rooms ; 114 m_ ; Apartment;Rue Des Terreaux 4; 1003 Lausanne;Exposed beam ceilings;Spacious open kitchen;Prime city center location;CHF 3,740.-;CHF 394 / m_ / year
1 room ; 31 m_ ; Apartment;Avenue D'echallens 102; 1004 Lausanne;Bright living space;Equipped kitchen;Balcony with view;CHF 1,295.-;CHF 501 / m_ / year
;20 m_ ; Apartment;Avenue Du Léman; 1005 Lausanne;Stunning lake views;Modern kitchen amenities;Spacious balcony retreat;CHF 2,284.-;CHF 1,370 / m_ / year
3 rooms ; 85 m_ ; Apartment;Chemin De Renens 52; 1004 Lausanne;High ceilings (2.90m);Custom-made quality furniture;Indoor parking included;CHF 3,350.-;CHF 473 / m_ / year
3 rooms ; 63 m_ ; Apartment;Avenue Frédéric-Recordon 6; 1004 Lausanne;Close to Valency Park;Balcony with great views;Quiet neighborhood charm;CHF 1,840.-;CHF 350 / m_ / year
;30 m_ ; Apartment;Avenue De Montchoisi; 1006 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 2,830.-;CHF 1,132 / m_ / year
2 rooms ;; Furnished apartment;Avenue D'ouchy 58; 1006 Lausanne;Stunning lake views;Modern open-plan design;Private balcony retreat;CHF 2,800.-;—
;25 m_ ; Apartment;Avenue De Chailly; 1012 Lausanne;Stunning mountain views;Cozy fireplace ambiance;Spacious outdoor terrace;CHF 2,700.-;CHF 1,296 / m_ / year
3 rooms ; 66 m_ ; Apartment;Chemin Du Bois-Gentil 146; 1018 Lausanne;Available immediately;Bathroom with bathtub;Bright rooms;CHF 1,300.-;CHF 236 / m_ / year
2 rooms ; 42 m_ ; Apartment;;1004 Lausanne;Great location, near city center;Open kitchen, living area;Balcony, cellar included;CHF 1,630.-;CHF 466 / m_ / year
4.5 rooms ; 128 m_ ; Apartment;Chemin De La Prairie 5; 1007 Lausanne;Spacious bright living room;Modern equipped kitchen;Sunny balcony;CHF 3,103.-;CHF 292 / m_ / year
2.5 rooms ; 63 m_ ; Apartment;Chemin De Boston 25; 1004 Lausanne;Spacious and bright;Open plan kitchen;Large balcony;CHF 2,070.-;CHF 394 / m_ / year
2 rooms ;; Apartment;Avenue De Morges 70; 1004 Lausanne;Separate kitchen;Central location;Public transport;CHF 1,890.-;—
3 rooms ; 73 m_ ; Apartment;Chemin Des Sauges 8; 1018 Lausanne;Near new stadium;Balcony and cellar included;Optional garage;CHF 1,620.-;CHF 266 / m_ / year
3 rooms ;; Apartment;Route De Berne 10; 1010 Lausanne;Fitted kitchen;Balcony from living room;Bathroom;CHF 1,790.-;—
3 rooms ; 76 m_ ; Apartment;Avenue Frédéric-César-De-La-Harpe 14; 1007 Lausanne;Near Lausanne station;Spacious 75m_ apartment;Freshly painted;CHF 2,550.-;CHF 403 / m_ / year
5 rooms ; 124 m_ ; Apartment;Avenue De Valmont 20; 1010 Lausanne;Spacious entrance hall with fitted wardrobes;Bright living room with balcony access;Equipped kitchen/dining room with access to balcony;CHF 2,540.-;CHF 246 / m_ / year
3.5 rooms ; 90 m_ ; Apartment;Route De La Feuillère 21; 1010 Lausanne;Modern apartment with large terrace;Near highway & public transport;Includes parking (CHF 200/month);CHF 3,123.-;CHF 416 / m_ / year
2 rooms ; 51 m_ ; Apartment;Avenue Des Bergières 28; 1004 Lausanne;New apartment with separate entrance;High-quality materials used;Central location, close to shops and public transport;CHF 1,950.-;CHF 459 / m_ / year
2 rooms ; 40 m_ ; Apartment;Avenue Des Bergières 28; 1004 Lausanne;Bergières center;Private garden;Parking space;CHF 1,750.-;CHF 525 / m_ / year
3.5 rooms ; 98 m_ ; Apartment;Rue De La Grotte 7; 1003 Lausanne;Lake view balcony;Quiet central location;Fully fitted kitchen;CHF 4,322.-;CHF 529 / m_ / year
2 rooms ; 55 m_ ; Apartment;Rue Couchirard 14; 1004 Lausanne;Bright and functional rooms;Fully equipped kitchen;Central location in Lausanne;CHF 1,800.-;CHF 393 / m_ / year
2 rooms ;; Apartment;Avenue de Sévery 6; 1004 Lausanne;Quiet neighborhood;Renovated floors;Near Coop;CHF 1,190.-;—
3.5 rooms ; 75 m_ ; Apartment;Rue Du Maupas 11; 1004 Lausanne;Spacious living room;Sunny balcony;Bright bedrooms;CHF 2,140.-;CHF 342 / m_ / year
28 m_ ;; Apartment;Rue Des Crêtes 25; 1018 Lausanne;Central location;Newly renovated;Fully furnished;CHF 1,690.-;CHF 724 / m_ / year
3.5 rooms ; 60 m_ ; Apartment;Chemin De La Lisière 19; 1018 Lausanne;Spacious living room;Separate kitchen;Balcony available;CHF 1,474.-;CHF 295 / m_ / year
3.5 rooms ; 68 m_ ; Apartment;Rue De Strasbourg 4; 1004 Lausanne;Great location in Lausanne;Pets allowed;Fiber optic internet;CHF 2,250.-;CHF 397 / m_ / year
2.5 rooms ; 60 m_ ; Apartment;Avenue Du Grey 80; 1018 Lausanne;Bright and spacious;Private balcony;Parking included;CHF 1,590.-;CHF 318 / m_ / year
1.5 rooms ; 43 m_ ; Apartment;Boulevard De Grancy 58; 1006 Lausanne;Ideally located near the station;Balcony and built-in wardrobes;Renovated kitchen and bathrooms;CHF 1,830.-;CHF 511 / m_ / year
2.5 rooms ; 53 m_ ; Apartment;Chemin De Maillefer 14; 1018 Lausanne;Spacious living room;Private garden;Quiet neighborhood;CHF 1,770.-;CHF 401 / m_ / year
3 rooms ; 72 m_ ; Apartment;Rue Couchirard 15; 1004 Lausanne;Cozy balcony for relaxation;Independent gas heating system;Renovation in progress;CHF 1,800.-;CHF 300 / m_ / year
3.5 rooms ;; Apartment;Rue Centrale 23; 1003 Lausanne;Spacious and comfortable;Prime location;Modern amenities;CHF 2,070.-;—
4.5 rooms ; 76 m_ ; Apartment;Route De Berne 1; 1010 Lausanne;Stunning lake view;Lively neighborhood near shops;Bright apartment;CHF 2,635.-;CHF 416 / m_ / year
2.5 rooms ; 44 m_ ; Apartment;Route De Berne 1; 1010 Lausanne;Balcony;Lively neighborhood;Equipped kitchen;CHF 1,980.-;CHF 540 / m_ / year
2 rooms ; 43 m_ ; Apartment;Avenue Frédéric-César-De-La-Harpe 20; 1007 Lausanne;Renovated apartment;Spacious balcony;Near the station;CHF 1,900.-;CHF 530 / m_ / year
3.5 rooms ; 97 m_ ; Apartment;;1005 Lausanne;Spacious private balcony;Stylish high ceilings;Fully equipped kitchen;CHF 2,950.-;CHF 365 / m_ / year
3 rooms ;; Apartment;Chemin Du Bois-De-La-Fontaine 6; 1007 Lausanne;Elevator access;Balcony with view;Close to shopping;CHF 1,930.-;—
3 rooms ; 81 m_ ; Apartment;Avenue Louis-Ruchonnet 37; 1003 Lausanne;Beautiful view;Fitted kitchen;Balcony;CHF 2,440.-;CHF 361 / m_ / year
2.5 rooms ; 75 m_ ; Apartment;Rue Dr. César-Roux 4; 1005 Lausanne;Bright living room with balcony;Modern equipped kitchen;Close to all amenities;CHF 1,983.-;CHF 317 / m_ / year
4 rooms ; 84 m_ ; Apartment;Rue de l'Industrie 11; 1005 Lausanne;Historic city center;Open kitchen;Charming apartment;CHF 2,056.-;CHF 294 / m_ / year
2.5 rooms ; 62 m_ ; Apartment;Chemin De Bérée 12; 1010 Lausanne;Fully equipped kitchen;Spacious living room;Close to public transport;CHF 1,940.-;CHF 375 / m_ / year
3.5 rooms ; 61 m_ ; Apartment;Avenue Victor-Ruffy 46; 1012 Lausanne;Open kitchen to living area;Balcony for outdoor relaxation;Close to shops and schools;CHF 2,320.-;CHF 456 / m_ / year
2.5 rooms ; 50 m_ ; Apartment;Avenue Des Bergières 28; 1004 Lausanne;Near Palais de Beaulieu;High-quality finishes;Private balcony;CHF 1,930.-;CHF 463 / m_ / year
3 rooms ; 76 m_ ; Apartment;Avenue Du Léman 21; 1005 Lausanne;1 min to bus station;40m_ living/kitchen;9m_ balcony;CHF 2,650.-;CHF 418 / m_ / year
2.5 rooms ; 47 m_ ; Apartment;Chemin Du Boisy 35; 1004 Lausanne;Cozy balcony for relaxation;Cave for extra storage;Parking space available;CHF 1,490.-;CHF 380 / m_ / year
3 rooms ; 68 m_ ; Apartment;Rue Saint-François 12; 1003 Lausanne;Bright and quiet space;Unique beams and charm;Central location near amenities;CHF 2,650.-;CHF 468 / m_ / year
2 rooms ; 59 m_ ; Apartment;Rue Saint-Roch 29; 1004 Lausanne;Renovated kitchen;Balcony with lake view;Elevator access;CHF 1,490.-;CHF 303 / m_ / year
4 rooms ; 91 m_ ; Apartment;Avenue Henri-Druey 13; 1018 Lausanne;Bright living room with balcony;Charming kitchen with amenities;Elevator access to 3rd floor;CHF 3,350.-;CHF 442 / m_ / year
3.5 rooms ; 70 m_ ; Apartment;Avenue Victor-Ruffy 14; 1012 Lausanne;Close to CHUV;Balcony for relaxation;Nearby shops & schools;CHF 2,100.-;CHF 360 / m_ / year
1.5 rooms ; 38 m_ ; Apartment;;1006 Lausanne;Sought-after area;Charming balcony;Laundry and cellar;CHF 1,650.-;CHF 521 / m_ / year
1 room ;; Studio;Chemin Isabelle-De-Montolieu 187; 1010 Lausanne;Studio near amenities;Separate equipped kitchen;Indoor/outdoor parking;CHF 890.-;—
3.5 rooms ; 88 m_ ; Apartment;Chemin De Haute-Brise 19; 1012 Lausanne;New apartment with terrace and garden;Quiet residential area;High-quality finishes;CHF 2,850.-;CHF 389 / m_ / year
3 rooms ; 58 m_ ; Apartment;Rue de l'Industrie 9; 1005 Lausanne;Historic neighborhood charm;Preferential rent for 3 years;Cultural attractions nearby;CHF 1,452.-;CHF 300 / m_ / year
1.5 rooms ; 47 m_ ; Apartment;Rue Des Terreaux 12; 1003 Lausanne;Charming parquet flooring;High ceilings throughout;Central location near metro;CHF 1,670.-;CHF 426 / m_ / year
2.5 rooms ; 62 m_ ; Duplex;;1005 Lausanne;Bright and spacious living room;Modern open kitchen;Ideal location near amenities;CHF 2,490.-;CHF 482 / m_ / year
